,Review,Score
0,"Hundreds of happy customers come through every hour.  Don't let the outdoor queue scare you off as it did me last night but I came back for lunch today and the line, albeit the length of the restaurant, only took 20 minutes or less.  All the employees were very courteous and pleasant.The chicken ruby was just amazing and very complex. There was not a drop left. The paneer tikka is probably meant to be shared  and was a bit underwhelming.  We got a downstairs table near the bar and dishwasher so it was terribly noisy with all the silverware.  But, it was also indicative just how popular this place is.",5.0
1,"We came for breakfast on a Monday so we were able to bypass the usual line. If coming for dinner, I would definitely recommend making reservations.I had the pancakes and bacon naan for breakfast. Both were delicious. Despite the toffee sauce, the pancakes weren't overly sweet. The bacon naan has a nice tomato jam to help balance the bacon.Apparently the chai is bottomless and I missed the memo l until we were cashing out. Lesson learned.The kitchen downstairs smells incredible so I'll definitely be checking them out for dinner another day.",4.0
2,"Have been wanting to go to Dishoom for years and I was glad it conveniently fit into my morning schedule. I passed it several times in the days before in the afternoons and the line gets insanely long for dinner time. I walked in and got seated with ease.The store itself is absolutely stunning. The area is huge. Even going downstairs to use the bathroom is like a different experience. I came around 9am during their breakfast menu, which I didn't know about. Guess I have to come back during later meals to try their other items.I got the keema per eedu. It was super flavorful and rich. Maybe I got too excited and scarfed it down too fast. It put me in a huge food coma. The liver, egg, and savory flavors felt heavy. It was an explosion in your mouth. I washed this down with chai and a cappuccino. The service was prompt. The store was scattered with some people out for leisure and business meals. There was always a consistent amount of people filling the shop throughout my meal. Gotta come back to try their regular menu--likely when I have more time in London!",4.0
3,"The best Indian food in London!This is my 3rd visit to London and Dishoom, the quality of food hasn't changed and it's still the best Indian food in town",5.0
4,"4.5/5 stars As someone who isn't well versed in Indian food, the menu can be overwhelming. Our waiter was kind enough to explain that the dishes were meant to be shared, and he made recommendations for what dishes would be good. We got a few small plates: the Pau Bhaji (Mashed vegetables with buns) and the lamb samosa. Both of these were excellent. The lamb samosa was so crispy, hot, and flavorful. The Pau Bhaji was new for me. The bun was so fluffy and buttery and was perfect with the mashed vegetables. It just tasted like a herb/spice sauce.For our main entrees, we got the chicken berry biryani (chicken and rice dish) and the mutton pepper fry (curry dish) and added the raita (yogurt sauce). The chicken biryani was quite good, and the chicken was pretty tender. The raita was supposed to be used with the biryani, but it kinda made the dish too cold for my liking. The mutton pepper fry was tender and flavorful! It was spicy, but I was surprisingly able to tolerate it. We ordered garlic naan, which was perfect for scooping all the sauce. It didn't have a strong garlic flavor, and it wasn't piping hot. We also ordered the chili broccoli salad, which was divine! The combination of pistachios, seeds, and dates made the broccoli so tasty! Overall, I enjoyed our meal here and loved trying new foods! We came around 5:15 pm and didn't need to wait for a table, but when we left the restaurant, there was a huge line, so definitely try to go during off peak hours.",5.0
5,"I'm sure there's not much more I could say because Dishoom is so famous and popular, but if it's any indication, we went for breakfast then went BACK for lunch on the same day. Everyone told us this restaurant is amazing and it very much lived up to the hype. Every dish was a revelation, especially the dal. I especially appreciated the kids menu. The staff was so lovely to my four-year-old child. Just perfect. I can't wait to eat here again.",5.0
6,"Food 5/5Ambiance 5/5Service 5/5You'll likely have to wait anywhere from 30 minutes to an hour for a table depending on the timing and your group size, but it's well worth it. They will sometimes pass out drinks to those waiting in line which is a nice touch. The food is stellar, though a bit different from your typical Indian restaurant in that it's more of a small plates style. Since portions are smaller, they recommend at least 2-3 plates per person here. My favorite was the Dishoom House Chaat, a dish that was recommended by our waiter. Note that unlike other Indian restaurants, they don't ask you for a preferred spice level on their dishes, so if you're particularly sensitive to spice, ask your waiter for specific recommendations. Ambiance is lively and there are neat booths downstairs where you can control the music level and (if I remember correctly) the fan as well- something I haven't seen at another restaurant. Bathrooms are also quite nice and clean- something that is always hugely appreciated in a big city like London. I will be making this a regular spot for anytime I'm in London!",5.0
7,"It is a chain restaurant but nothing about it lacks the quality. This place is incredible and they need to come to the States! Its Indian cuisines and its has a wide array of options. I feel like this is perfect for people that might be intimidated by Indian food and want to try it for the first time. Theres so much great choices for various diets: vegetarians, vegans, carnivores, etc. My partner is a vegan and she was pleased with all the options. I went with the Ruby Chicken which is essentially a tika masala chicken. Run don't walk to get it. Very delicious and the sauce with some basmati rice is outstanding. The samosas are a great appetizer as well. The gunpowder potatoes was a great side. Never had potatoes that seasoned before.Disroom please please please make your way to New York. They longing for a restaurant like this.",5.0
8,"Wow wow wow.. A very memorable experience and service provided by ALEX at this location on 3rd of November. Alex was attentive and charming, he made sure that my friends and I were well taken care of for the evening. I happen to have a mango allergy but the manager was able to resolve that issue quickly with a special menu that was checked off by the chef with all the dishes that did not have Mango in it. I was grateful and very appreciative of such wonderful gesture and hope the restaurant continues to provide this caliber of service in our future visits. Marvelous time spent and would highly recommend this location to anyone who is visiting London. Thank you Alex!Food was also absolutely delicious, dare I say some of the best Indian cuisine I've had so far? Make reservations if you can to avoid the long long line outside.",5.0
9,"After having owned the cookbook from Dishoom for a while, I was really excited to try the dishes straight from the origin. I made a reservation for one during lunch hours on a long layover I had in London. A reservation is definitely recommended, by the time I was leaving, there was a line outside. As soon as I walked into the restaurant, I was taken by the gorgeous interiors. You can tell that the decor was carefully picked out and the detailing of every element of the restaurant was beautiful. It's a lovely ambiance to have a meal in. When I sat down, they handed me this cute paper menu that looked like a newspaper. Since I was dining alone, I asked the waitress for her best recommendations. She gave me several options from the small plates, entrees, and breads/rices. I started with the house chai. Then I chose a small plate--the okra fries, an entree--the lamb chops, and a garlic naan to go with it. The chai came out first and that was so delicious; I had 3 glasses (btw, they refill the chai for free!). Then came the okra fries and wow. That was one of the best preparations of okra I've ever tasted. Then my lamb chops and garlic naan came, and if you come here, you HAVE to try the lamb chops. They were cooked to perfection and extremely delicious. The garlic naan I probably could have done without with this dish, it was a bit thin and less fluffy than I was expecting. Overall, I absolutely loved this restaurant. It is a place not to be missed. I look forward to coming back in the future to try more of their dishes.",5.0
